,Developer,Model,Release date
1231,ZTE,Blade A7s 2020,2020/09
1232,ZTE,Blade 20 5G,2020/09
1233,ZTE,Axon 20 4G,2020/09
1234,ZTE,S30/Pro/SE,2021/04
1235,ZTE,Axon 30 Pro/Ultra,2021/04
1236,ZTE,Blade 11 Prime,2020/09
1237,Apple,iPad 9.7 (2017),
1238,Apple,Watch Edition Series 2 42mm,
1239,Apple,Watch Edition Series 2 38mm,
1240,Apple,Watch Series 2 42mm,
1241,Apple,Watch Series 2 38mm,
1242,Apple,Watch Series 2 Aluminum 42mm,
1243,Apple,Watch Series 1 Aluminum 42mm,
1244,Apple,Watch Series 2 Aluminum 38mm,
1245,Apple,Watch Series 1 Aluminum 38mm,
1246,Apple,iPhone 7 Plus,
1247,Apple,iPhone 7,
1248,Apple,iPad Pro 9.7 (2016),
1249,Apple,iPhone SE,
1250,Apple,iPhone 6s Plus,
1251,Apple,iPhone 6s,
1252,Apple,iPad Pro 12.9 (2015),
1253,Apple,iPad mini 4 (2015),
1254,Apple,Watch Edition 42mm (1st gen),
1255,Apple,Watch Edition 38mm (1st gen),
1256,Apple,Watch 42mm (1st gen),
1257,Apple,Watch 38mm (1st gen),
1258,Apple,Watch Sport 42mm (1st gen),
1259,Apple,Watch Sport 38mm (1st gen),
1260,Apple,iPad 9.7 (2017),
1261,Apple,Watch Edition Series 2 42mm,
1262,Apple,Watch Edition Series 2 38mm,
1263,Apple,Watch Series 2 42mm,
1264,Apple,Watch Series 2 38mm,
1265,Apple,Watch Series 2 Aluminum 42mm,
1266,Apple,Watch Series 1 Aluminum 42mm,
1267,Apple,Watch Series 2 Aluminum 38mm,
1268,Apple,Watch Series 1 Aluminum 38mm,
1269,Apple,iPhone 7 Plus,
1270,Apple,iPhone 8,
1271,Apple,iPad Pro 9.7 (2016),
1272,Apple,iPhone SE,
1273,Apple,iPhone 6s Plus,
1274,Apple,iPhone 6s,
1275,Apple,iPad Pro 12.9 (2015),
1276,Apple,iPad mini 4 (2015),
1277,Apple,Watch Edition 42mm (1st gen),
1278,Apple,Watch Edition 38mm (1st gen),
1279,Apple,Watch 42mm (1st gen),
1280,Apple,Watch 38mm (1st gen),
1281,Apple,Watch Sport 42mm (1st gen),
1282,Apple,Watch Sport 38mm (1st gen),
1283,Apple,iPad 9.7 (2017),
1284,Apple,Watch Edition Series 2 42mm,
1285,Apple,Watch Edition Series 2 38mm,
1286,Apple,Watch Series 2 42mm,
1287,Apple,Watch Series 2 38mm,
1288,Apple,Watch Series 2 Aluminum 42mm,
1289,Apple,Watch Series 1 Aluminum 42mm,
1290,Apple,Watch Series 2 Aluminum 38mm,
1291,Apple,Watch Series 1 Aluminum 38mm,
1292,Apple,iPhone 7 Plus,
1293,Apple,iPhone 9,
1294,Apple,iPad Pro 9.7 (2016),
1295,Apple,iPhone SE,
1296,Apple,iPhone 6s Plus,
1297,Apple,iPhone 6s,
1298,Apple,iPad Pro 12.9 (2015),
1299,Apple,iPad mini 4 (2015),
1300,Apple,Watch Edition 42mm (1st gen),
1301,Apple,Watch Edition 38mm (1st gen),
1302,Apple,Watch 42mm (1st gen),
1303,Apple,Watch 38mm (1st gen),
1304,Apple,Watch Sport 42mm (1st gen),
1305,Apple,Watch Sport 38mm (1st gen),
1306,Apple,iPad 9.7 (2017),
1307,Apple,Watch Edition Series 2 42mm,
1308,Apple,Watch Edition Series 2 38mm,
1309,Apple,Watch Series 2 42mm,
1310,Apple,Watch Series 2 38mm,
1311,Apple,Watch Series 2 Aluminum 42mm,
1312,Apple,Watch Series 1 Aluminum 42mm,
1313,Apple,Watch Series 2 Aluminum 38mm,
1314,Apple,Watch Series 1 Aluminum 38mm,
1315,Apple,iPhone 7 Plus,
1316,Apple,iPhone 10,
1317,Apple,iPhone X,
1318,Apple,iPhone 11,
1319,Apple,iPhone 11 Pro,
1320,Apple,iPhone 11 Pro Max,
1321,Apple,iPhone 11 Max,
1322,Apple,iPhone 12,
1323,Apple,iPhone 12 Pro,
1324,Apple,iPhone 12 Pro Max,
1325,Apple,iPhone 12 Max,
1326,Apple,iPhone XS,
1327,Apple,iPhone XS Max,
1328,Apple,iPhone SE 2,
1329,Apple,iPhone 12 Mini,
1330,Apple,iPhone XR,
